Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2011","2011","tonnes","964264","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2012","2012","tonnes","996982","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2013","2013","tonnes","1056084","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2014","2014","tonnes","1044616","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2015","2015","tonnes","1048791","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2016","2016","tonnes","1098937","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2017","2017","tonnes","1109321","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2018","2018","tonnes","988093","","Official data"
"TM","Detailed trade matrix","231","United States of America","214","China Taiwan Province of","5910","Export Quantity","15","Wheat","2019","2019","tonnes","1284728","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1986","1986","tonnes","1992697","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1987","1987","tonnes","2432366","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1988","1988","tonnes","2754692","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1989","1989","tonnes","3254905","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1990","1990","tonnes","1654005","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1991","1991","tonnes","3078675","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1992","1992","tonnes","3939744","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1993","1993","tonnes","2344027","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1994","1994","tonnes","4996657","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1995","1995","tonnes","4834535","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1996","1996","tonnes","4046402","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1997","1997","tonnes","3632979","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1998","1998","tonnes","4324398","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","1999","1999","tonnes","4357391","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2000","2000","tonnes","4531460","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2001","2001","tonnes","3291304","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2002","2002","tonnes","1964569","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2003","2003","tonnes","2891376","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2004","2004","tonnes","2972219","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2005","2005","tonnes","1358783","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2006","2006","tonnes","1522109","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2007","2007","tonnes","3119708","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2008","2008","tonnes","2160589","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2009","2009","tonnes","681728","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2010","2010","tonnes","1562995","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2011","2011","tonnes","2489363","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2012","2012","tonnes","819213","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2013","2013","tonnes","1611731","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2014","2014","tonnes","432086","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2015","2015","tonnes","354424","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2016","2016","tonnes","82270","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2017","2017","tonnes","180349","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2018","2018","tonnes","120672","","Official data"
"TM","Detailed trade matrix","231","United States of America","59","Egypt","5910","Export Quantity","15","Wheat","2019","2019","tonnes","827918","","Official data"
"TM","Detailed trade matrix","231","United States of America","102","Iran (Islamic Republic of)","5910","Export Quantity","15","Wheat","2008","2008","tonnes","1645231","*","Unofficial figure"
